Brand & Model,Varient,Fuel Type,Driven Kilometers,Transmission,Owner,Location,Date of Posting Ad,Price (in ₹),Brand,Year,Car_Age
Hyundai Santa Fe (2012),2WD MT,DIESEL,73000.0,MANUAL,2nd Owner,"Ramesh Nagar, Delhi",01-27-2022,425000,Hyundai,2012.0,10.0
Hyundai Santa Fe (2012),2WD MT,DIESEL,73000.0,MANUAL,2nd Owner,"Ramesh Nagar, Delhi",01-27-2022,425000,Hyundai,2012.0,10.0
Fiat Avventura (2015),Power Up 1.3 Emotion,DIESEL,19018.0,MANUAL,1st Owner,"Indira Nagar, Bengaluru",01-18-2022,675000,Fiat,2015.0,7.0
Fiat Avventura (2015),Power Up 1.3 Emotion,DIESEL,19018.0,MANUAL,1st Owner,"Indira Nagar, Bengaluru",01-18-2022,675000,Fiat,2015.0,7.0
Maruti Suzuki Alto 800 (2015),2012-2016 LXI,PETROL,63000.0,MANUAL,1st Owner,"Khandagiri, Bhubaneshwar",01-18-2022,220000,Maruti,2015.0,7.0
Maruti Suzuki Alto 800 (2015),2012-2016 LXI,PETROL,63000.0,MANUAL,1st Owner,"Khandagiri, Bhubaneshwar",01-18-2022,220000,Maruti,2015.0,7.0
Maruti Suzuki Alto 800 (2015),2012-2016 LXI,PETROL,63000.0,MANUAL,1st Owner,"Khandagiri, Bhubaneshwar",01-18-2022,220000,Maruti,2015.0,7.0
Hyundai Creta (2017),1.6 SX Plus,PETROL,41545.0,MANUAL,1st Owner,"Madhapur, Hyderabad",09-30-2021,1095000,Hyundai,2017.0,5.0
Renault Kwid (2016),RXL,PETROL,90000.0,MANUAL,First Owner,"Now Gam, Nowgam",01-13-2022,230000,Renault,2016.0,6.0
Renault Kwid (2016),RXL,PETROL,90000.0,MANUAL,First Owner,"Now Gam, Nowgam",01-13-2022,230000,Renault,2016.0,6.0
Maruti Suzuki Wagon R (2018),CNG LXI Opt,CNG,120000.0,MANUAL,First Owner,"Shivaji Nagar, Mumbai",01-13-2022,380000,Maruti,2018.0,4.0
Maruti Suzuki Wagon R (2018),CNG LXI Opt,CNG,120000.0,MANUAL,First Owner,"Shivaji Nagar, Mumbai",01-13-2022,380000,Maruti,2018.0,4.0
Maruti Suzuki Wagon R Duo (2011),Others,LPG,90320.0,AUTOMATIC,4+ Owner,"Badi Bazar, Pihani",01-27-2022,180000,Maruti,2011.0,11.0
Maruti Suzuki Wagon R Duo (2011),Others,LPG,90320.0,AUTOMATIC,4+ Owner,"Badi Bazar, Pihani",01-27-2022,180000,Maruti,2011.0,11.0
Tata Indica (2008),DLS,DIESEL,125250.0,MANUAL,3rd Owner,"Thondankulangara, Alappuzha",01-27-2022,65000,Tata,2008.0,14.0
Maruti Suzuki 800 (2007),Others,PETROL,75000.0,AUTOMATIC,2nd Owner,"Tazipora, Mohmmad Pora",01-27-2022,70000,Maruti,2007.0,15.0
Hyundai Aura (2021),SX Plus Manual,PETROL,4000.0,MANUAL,1st Owner,"Ganga Bazar, Itanagar",01-27-2022,750000,Hyundai,2021.0,1.0
Mahindra Thar (2021),LX 4-STR Hard Top AT,DIESEL,1.0,AUTOMATIC,1st Owner,"Calicut Airport, Kozhikode",01-27-2022,1950000,Mahindra,2021.0,1.0
Tata Safari Storme (2016),VX,DIESEL,67000.0,MANUAL,1st Owner,"Police Lines, Varanasi",01-27-2022,725000,Tata,2016.0,6.0
Maruti Suzuki Swift Dzire (2012),LDI,DIESEL,79300.0,MANUAL,2nd Owner,"Akurdi, Pune",01-27-2022,380000,Maruti,2012.0,10.0
Hyundai I20 (2013),1.4 Sportz,DIESEL,83000.0,MANUAL,3rd Owner,"Jain Nagar, Meerut",01-27-2022,290000,Hyundai,2013.0,9.0
Hyundai Santro Xing (2011),GLS,PETROL,42000.0,AUTOMATIC,1st Owner,"Mukundapur, Kolkata",01-27-2022,127000,Hyundai,2011.0,11.0
Tata Safari Storme (2016),VX,DIESEL,67000.0,MANUAL,1st Owner,"Police Lines, Varanasi",01-27-2022,725000,Tata,2016.0,6.0
Maruti Suzuki Swift (2014),2011-2014 VDI,DIESEL,115625.0,MANUAL,2nd Owner,"Indira Nagar, Visakhapatnam",01-27-2022,415000,Maruti,2014.0,8.0
Maruti Suzuki Swift (2014),2011-2014 VDI,DIESEL,115625.0,MANUAL,2nd Owner,"Indira Nagar, Visakhapatnam",01-27-2022,415000,Maruti,2014.0,8.0
Mahindra Bolero (2006),2001-2010 DI,DIESEL,120000.0,AUTOMATIC,3rd Owner,"Hasanpur, Bakhri",01-27-2022,171000,Mahindra,2006.0,16.0
Nissan Micra (2016),XL CVT,PETROL,31000.0,AUTOMATIC,1st Owner,"Shahibag, Ahmedabad",01-06-2022,210000,Nissan,2016.0,6.0
Nissan Micra (2016),XL CVT,PETROL,31000.0,AUTOMATIC,1st Owner,"Shahibag, Ahmedabad",01-06-2022,210000,Nissan,2016.0,6.0
Nissan Micra (2014),2012-2017 Diesel XL,DIESEL,81321.0,MANUAL,1st Owner,"Ganga Nagar, Meerut",01-27-2022,210000,Nissan,2014.0,8.0
Hyundai I10 (2011),Magna 1.2 iTech SE,PETROL,63800.0,MANUAL,2nd Owner,"Mudichur, Chennai",01-27-2022,260000,Hyundai,2011.0,11.0
Hyundai I10 (2011),Magna 1.2 iTech SE,PETROL,63800.0,MANUAL,2nd Owner,"Mudichur, Chennai",01-27-2022,260000,Hyundai,2011.0,11.0
Ford Ecosport (2016),1.5 Diesel Titanium Plus,DIESEL,62000.0,MANUAL,1st Owner,"Amar Colony, Delhi",01-27-2022,580000,Ford,2016.0,6.0
Toyota Etios (2012),2010-2012 GD,DIESEL,170000.0,MANUAL,2nd Owner,"Burempet, Narasaraopet",01-27-2022,399999,Toyota,2012.0,10.0
Mahindra Xuv500 (2017),W6 2WD,DIESEL,85000.0,MANUAL,2nd Owner,"Vikaspuri, Delhi",01-27-2022,780000,Mahindra,2017.0,5.0
Mahindra Xuv500 (2017),W6 2WD,DIESEL,85000.0,MANUAL,2nd Owner,"Vikaspuri, Delhi",01-27-2022,780000,Mahindra,2017.0,5.0
Mahindra Xuv500 (2017),W6 2WD,DIESEL,85000.0,MANUAL,2nd Owner,"Vikaspuri, Delhi",01-27-2022,780000,Mahindra,2017.0,5.0
Mahindra Xuv500 (2017),W6 2WD,DIESEL,85000.0,MANUAL,2nd Owner,"Vikaspuri, Delhi",01-27-2022,780000,Mahindra,2017.0,5.0
